region,schema_version,scored_at,total_facilities,hospital_count,clinic_count,ngo_count,volunteer_facilities,teaching_hospitals,referral_centers,public_facilities,private_facilities,total_doctors,total_beds,doctors_per_100k,beds_per_100k,facilities_per_100k,hospitals_per_100k,region_population,emergency_medicine_facilities,surgery_facilities,obstetrics_facilities,icu_facilities,pediatrics_facilities,infectious_disease_facilities,radiology_facilities,mental_health_facilities,critical_specialty_gap_count,missing_critical_specialties,all_specialties,emergency_gap_score,icu_gap_score,surgical_access_gap_score,maternity_gap_score,avg_completeness,avg_geo_quality,avg_ghost_probability,avg_quality_risk,total_region_anomalies,rag_ready_count,rag_ready_rate,avg_emergency_readiness,avg_critical_care_score,avg_service_richness_score,avg_infrastructure_completeness_score,avg_referral_complexity_score,avg_healthcare_maturity_score,density_component,specialty_component,integrity_component,confidence_component,summary_mds,blended_mds,medical_desert_score,desert_label,mds_label,score_confidence,score_rationale,centroid_lat,centroid_lon,recommended_actions,method_version
Savannah,v12,2026-05-20T13:18:29.513832+00:00,4,3,0,1,1,0,0,1,3,0,0,0,0,0.66,0.49,606986,0,0,0,0,0,0,0,0,4,"[""emergencyMedicine"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""pediatrics""]","[""internalMedicine"", ""nephrology""]",1,1,1,1,0.4641,0.82,0.4975,0.2875,0,4,100,0,0,0.125,0,0,0.0375,0.8445,0.98,0.4435,0.3778,0.9706,0.7282,0.8736,Severe Desert,Severe Desert,0.5786,"Density gap: 0.66/100k facilities, 0.00/100k doctors; Missing 4 critical specialties: emergencyMedicine, generalSurgery, gynecologyAndObstetrics; Integrity concern: ghost_prob=0.50, anomalies=0",9.0167,-2.4833,"[""URGENT: Deploy emergency medicine capacity \u2014 zero coverage detected"", ""URGENT: No surgical capacity \u2014 patients cannot receive operative care"", ""URGENT: No obstetrics \u2014 elevated maternal mortality risk"", ""HIGH: Deploy paediatric care \u2014 children's health services absent"", ""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population"", ""HIGH: Hospital density critically low \u2014 < 0.5 per 100k population"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k"", ""URGENT: Region severely underserved \u2014 prioritise facility establishment""]",blended_mds_v12
Upper East,v12,2026-05-20T13:18:29.481550+00:00,6,5,0,1,1,0,0,1,5,0,0,0,0,0.57,0.48,1046545,0,0,1,0,1,0,1,0,3,"[""emergencyMedicine"", ""generalSurgery"", ""gynecologyAndObstetrics""]","[""cardiology"", ""internalMedicine"", ""maternalFetalMedicineOrPerinatology"", ""neonatologyPerinatalMedicine"", ""ophthalmology"", ""otolaryngology"", ""pediatrics"", ""physicalMedicineAndRehabilitation"", ""radiology""]",1,1,1,0.8,0.5461,0.8733,0.325,0.2,0,6,100,0,0,0.2847,0.0555,0.0476,0.1021,0.8515,0.94,0.3196,0.3134,0.9352,0.6865,0.8357,Severe Desert,Severe Desert,0.67,"Density gap: 0.57/100k facilities, 0.00/100k doctors; Missing 3 critical specialties: emergencyMedicine, generalSurgery, gynecologyAndObstetrics",11.0583,-0.2417,"[""URGENT: Deploy emergency medicine capacity \u2014 zero coverage detected"", ""URGENT: No surgical capacity \u2014 patients cannot receive operative care"", ""URGENT: No obstetrics \u2014 elevated maternal mortality risk"", ""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population"", ""HIGH: Hospital density critically low \u2014 < 0.5 per 100k population"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
Bono East,v12,2026-05-20T13:18:29.472669+00:00,15,9,2,1,1,0,0,1,14,0,100,0,8.76,1.31,0.79,1141427,2,1,3,0,2,1,2,0,1,"[""generalSurgery""]","[""clinicalPathology"", ""emergencyMedicine"", ""familyMedicine"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""neonatologyPerinatalMedicine"", ""nephrology"", ""obstetricsAndMaternityCare"", ""otolaryngology"", ""pathology"", ""pediatrics"", ""radiology""]",0.7778,1,0.8889,0.7273,0.5757,0.8413,0.3813,0.2667,0,15,100,0.0633,0.02,0.3222,0.1128,0.0952,0.1472,0.7173,0.7927,0.3653,0.3075,0.7381,0.6043,0.6846,Moderate Desert,Moderate Desert,0.664,"Density gap: 1.31/100k facilities, 0.00/100k doctors; Missing 1 critical specialties: generalSurgery",7.5833,-1.9333,"[""URGENT: No surgical capacity \u2014 patients cannot receive operative care"", ""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population""]",blended_mds_v12
Western North,v12,2026-05-20T13:18:29.523085+00:00,13,5,8,0,0,0,0,4,9,0,0,0,0,1.66,0.64,782022,2,2,4,0,1,1,1,1,0,[],"[""anesthesia"", ""clinicalPathology"", ""emergencyMedicine"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""maternalFetalMedicineOrPerinatology"", ""neonatologyPerinatalMedicine"", ""obstetricsAndMaternityCare"", ""ophthalmology"", ""orthopedicSurgery"", ""otolaryngology"", ""pathology"", ""pediatrics""]",0.6,1,0.6,0.6923,0.5515,0.8738,0.2992,0.1538,2,12,92.3,0.0846,0.0462,0.234,0.1389,0.1209,0.138,0.7378,0.6492,0.2902,0.3182,0.7262,0.5632,0.661,Moderate Desert,Moderate Desert,0.678,"Density gap: 1.66/100k facilities, 0.00/100k doctors; Missing 0 critical specialties: ",6.45,-2.35,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
Northern,v12,2026-05-20T13:18:29.509543+00:00,33,21,8,2,1,3,2,11,22,0,0,0,0,1.33,0.85,2479461,5,6,6,4,4,0,6,1,0,[],"[""anesthesia"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""emergencyMedicine"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""hospiceAndPalliativeInternalMedicine"", ""internalMedicine"", ""neonatologyPerinatalMedicine"", ""nephrology"", ""obstetricsAndMaternityCare"", ""ophthalmology"", ""orthopedicSurgery"", ""otolaryngology""]",0.7619,0.4,0.7143,0.7931,0.5598,0.8491,0.3033,0.1864,0,32,97,0.1348,0.1227,0.2929,0.0931,0.1301,0.1673,0.6787,0.5888,0.3043,0.3064,0.6451,0.5255,0.5973,Marginal,Marginal,0.674,"Density gap: 1.33/100k facilities, 0.00/100k doctors; Missing 0 critical specialties: ",9.4075,-0.8533,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
Upper West,v12,2026-05-20T13:18:29.477091+00:00,24,13,8,2,2,0,1,9,15,0,0,0,0,2.66,1.44,901683,2,2,7,1,4,1,2,1,0,[],"[""anesthesia"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""medicalOncology"", ""neonatologyPerinatalMedicine"", ""obstetricsAndMaternityCare"", ""ophthalmology"", ""otolaryngology""]",0.8462,0.7,0.8462,0.6667,0.5013,0.8475,0.3962,0.2771,1,22,91.7,0.0604,0.0458,0.2274,0.0971,0.1015,0.1186,0.5837,0.7071,0.3703,0.3459,0.6344,0.5362,0.5951,Marginal,Marginal,0.6256,Missing 0 critical specialties: ,6.11558,-3.034332,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
Central,v12,2026-05-20T13:18:29.496082+00:00,47,18,14,6,1,0,1,7,40,0,201,0,7.84,1.83,0.7,2563228,5,1,9,1,7,5,5,3,0,[],"[""anesthesia"", ""cardiology"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""dermatology"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""familyMedicine"", ""gastroenterology"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""medicalOncology""]",0.7222,0.7,0.9444,0.7188,0.5687,0.8553,0.3043,0.1819,5,46,97.9,0.05,0.017,0.2801,0.1585,0.0973,0.145,0.713,0.6885,0.2906,0.3037,0.5984,0.561,0.5835,Marginal,Marginal,0.6801,"Density gap: 1.83/100k facilities, 0.00/100k doctors; Missing 0 critical specialties: ",5.310394,-0.769812,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility""]",blended_mds_v12
Western,v12,2026-05-20T13:18:29.448710+00:00,78,29,44,2,2,0,1,16,62,0,193,0,8.12,3.28,1.22,2376021,7,3,19,2,4,1,5,3,0,[],"[""anesthesia"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""familyMedicine"", ""generalSurgery"", ""globalHealthAndInternationalHealth"", ""gynecologyAndObstetrics"", ""hospiceAndPalliativeInternalMedicine"", ""infectiousDiseases"", ""internalMedicine"", ""maternalFetalMedicineOrPerinatology"", ""medicalOncology""]",0.7586,0.4,0.8966,0.7397,0.5096,0.9021,0.33,0.1532,1,68,87.2,0.0474,0.0231,0.1939,0.1019,0.0825,0.1029,0.5518,0.6188,0.2908,0.3362,0.5677,0.484,0.5342,Marginal,Marginal,0.6594,Missing 0 critical specialties: ,4.910502,-1.793252,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility""]",blended_mds_v12
Unknown,v12,2026-05-20T13:18:29.463181+00:00,23,2,14,5,1,0,0,2,21,0,0,0,0,2.3,0.2,1000000,2,2,5,0,1,2,1,0,0,[],"[""anesthesia"", ""dentistry"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""gastroenterology"", ""generalSurgery"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""maternalFetalMedicineOrPerinatology"", ""neonatologyPerinatalMedicine"", ""obstetricsAndMaternityCare"", ""otolaryngology"", ""pediatrics"", ""publicHealth""]",0,1,0,0.6875,0.4569,0.653,0.4535,0.3674,3,14,60.9,0.013,0.0261,0.2156,0.0808,0.0745,0.0967,0.82,0.3187,0.4221,0.4663,0.4818,0.562,0.5139,Marginal,Marginal,0.5337,"Density gap: 2.30/100k facilities, 0.00/100k doctors; Integrity concern: ghost_prob=0.45, anomalies=3",5.094435,-1.644094,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility"", ""HIGH: Deploy mobile inpatient capacity \u2014 fewer than 20 beds in region"", ""HIGH: No ICU capacity \u2014 critical gap for complex cases"", ""MEDIUM: Mental health services absent \u2014 underserved population"", ""HIGH: Hospital density critically low \u2014 < 0.5 per 100k population"", ""HIGH: Bed capacity insufficient \u2014 fewer than 2 beds per 100k""]",blended_mds_v12
Volta,v12,2026-05-20T13:18:29.491529+00:00,63,48,9,6,6,1,2,18,45,0,125,0,7.38,3.72,2.83,1693143,6,9,14,5,8,2,7,5,0,[],"[""anesthesia"", ""clinicalPathology"", ""criticalCareMedicine"", ""dentistry"", ""dermatology"", ""emergencyMedicine"", ""endocrinologyAndDiabetesAndMetabolism"", ""gastroenterology"", ""generalSurgery"", ""geriatricsInternalMedicine"", ""gynecologyAndObstetrics"", ""infectiousDiseases"", ""internalMedicine"", ""neonatologyPerinatalMedicine"", ""obstetricsAndMaternityCare""]",0.875,0.2,0.8125,0.7544,0.5592,0.8571,0.2973,0.1994,4,63,100,0.0873,0.0802,0.2758,0.1618,0.1159,0.1648,0.4688,0.5942,0.2911,0.2998,0.5432,0.4392,0.5016,Marginal,Marginal,0.6773,Missing 0 critical specialties: ,6.6,0.4667,"[""URGENT: Critical physician shortage \u2014 avg < 1 doctor per facility""]",blended_mds_v12
